Year,Temperature,Rainfall,Radiation,RelHumidity,FFD
1984,9.371584699,2.489344262,14.8715847,93.92650273,217
1985,9.656164384,2.475890411,14.68493151,94.93589041,186
1986,9.273972603,2.421369863,14.51506849,94.09506849,233
1987,9.219178082,2.319726027,14.6739726,94.4969863,222
1988,10.20218579,2.465300546,14.74863388,94.08142077,214
1989,9.44109589,2.735890411,14.78356164,96.08684932,237
1990,9.943835616,2.398630137,14.67671233,93.77917808,213
1991,9.690410959,2.635616438,14.4109589,93.15561644,206
1992,9.691256831,2.795901639,13.39617486,94.09863388,188
1993,9.947945205,2.878630137,14.26575342,94.91972603,234
1994,9.316438356,1.974794521,14.52328767,93.26931507,264
1995,9.164383562,2.843287671,13.90410959,94.45863014,196
1996,8.967213115,2.814754098,14.33060109,94.6,229
1997,9.038356164,1.403013699,14.77534247,93.74684932,212
1998,8.934246575,2.289041096,14.6,94.60821918,244
1999,9.547945205,2.12630137,14.61369863,96.2260274,178
2000,9.680327869,2.471857923,14.6557377,95.65737705,154
2001,9.561643836,2.227945205,14.14520548,94.70712329,207
2002,9.389041096,1.74,14.63835616,93.53232877,182
2003,9.210958904,2.270410959,15.11232877,94.4709589,218
2004,9.300546448,2.620491803,14.64480874,95.01420765,192
2005,9.623287671,2.284109589,15.09315068,94.30356164,199
2006,8.715068493,1.781369863,15.4109589,94.84493151,200
2007,9.801369863,2.191232877,15.19452055,94.11068493,225
2008,9.034153005,1.743169399,14.80327869,94.39508197,216
2009,9.457534247,2.038630137,15.12876712,94.6309589,197
2010,9.765753425,2.777808219,14.29315068,96.05205479,230
2011,9.826027397,2.88630137,14.0109589,95.7060274,204
2012,9.767759563,2.599453552,14.40710383,94.90519126,233
2013,10.09726027,2.540273973,14.43013699,93.83479452,174
2014,10.24725275,2.239285714,14.60164835,94.21016484,189
