Year,RBO,Temperature,Rainfall,Radiation,RelHumidity
1984,0.75500878,9.371584699,2.489344262,14.8715847,93.92650273
1985,0.740751951,9.656164384,2.475890411,14.68493151,94.93589041
1986,0.842386012,9.273972603,2.421369863,14.51506849,94.09506849
1987,0.748442532,9.219178082,2.319726027,14.6739726,94.4969863
1988,0.798408404,10.20218579,2.465300546,14.74863388,94.08142077
1989,0.79388033,9.44109589,2.735890411,14.78356164,96.08684932
1990,0.79256782,9.943835616,2.398630137,14.67671233,93.77917808
1991,0.813869793,9.690410959,2.635616438,14.4109589,93.15561644
1992,0.815284323,9.691256831,2.795901639,13.39617486,94.09863388
1993,0.77580071,9.947945205,2.878630137,14.26575342,94.91972603
1994,0.747185294,9.316438356,1.974794521,14.52328767,93.26931507
1995,0.750819732,9.164383562,2.843287671,13.90410959,94.45863014
1996,0.66444194,8.967213115,2.814754098,14.33060109,94.6
1997,0.694121288,9.038356164,1.403013699,14.77534247,93.74684932
1998,0.704554451,8.934246575,2.289041096,14.6,94.60821918
1999,0.69922592,9.547945205,2.12630137,14.61369863,96.2260274
2000,0.713711576,9.680327869,2.471857923,14.6557377,95.65737705
2001,0.72674225,9.561643836,2.227945205,14.14520548,94.70712329
2002,0.66294836,9.389041096,1.74,14.63835616,93.53232877
2003,0.711822659,9.210958904,2.270410959,15.11232877,94.4709589
2004,0.703993822,9.300546448,2.620491803,14.64480874,95.01420765
2005,0.732116574,9.623287671,2.284109589,15.09315068,94.30356164
2006,0.725802749,8.715068493,1.781369863,15.4109589,94.84493151
2007,0.700771789,9.801369863,2.191232877,15.19452055,94.11068493
2008,0.744515058,9.034153005,1.743169399,14.80327869,94.39508197
2009,0.685304461,9.457534247,2.038630137,15.12876712,94.6309589
2010,0.702262614,9.765753425,2.777808219,14.29315068,96.05205479
2011,0.758267383,9.826027397,2.88630137,14.0109589,95.7060274
2012,0.734637447,9.767759563,2.599453552,14.40710383,94.90519126
2013,0.725516509,10.09726027,2.540273973,14.43013699,93.83479452
2014,0.709091599,10.24725275,2.239285714,14.60164835,94.21016484
